content,timestamp,district,category,sentiment,likes,reposts
"湖边的樱花开了，粉白相间好不美丽。周末记得来打卡！",2023-03-28 09:45:13,玄武区,自然环境,正面,312,57
"老门东的小吃真是一绝，豆腐脑、鸭血粉丝汤、牛肉锅贴，样样都想来一份！",2023-09-14 12:20:45,秦淮区,文化遗产,正面,5,5
"今天尝试了共享单车,感觉很方便。希望能一直保持良好运营。",2023-05-09 12:45:37,建邺区,城市交通,正面,5,3
"小区周边的早餐店选择太少，上班族很不方便。",2023-04-11 07:20:43,江宁区,社会动态,负面,5,2
"新修的滨江步道真漂亮,晚上散步很舒服。",2023-03-05 19:30:27,建邺区,建成环境,正面,1,1
"老城墙的夜景照明改造后，古今交融很有韵味。",2023-03-29 19:45:37,玄武区,文化遗产,正面,1,1
"城市体育公园的设施很齐全，周末去锻炼的人越来越多。",2023-11-29 09:45:37,江宁区,社会动态,正面,8,4
"社区组织的健康讲座很有用。",2023-03-23 16:20:51,玄武区,社会动态,正面,3,1
"新修的人行道很平整,走起来舒服。",2023-05-11 15:50:22,玄武区,建成环境,正面,7,7
"参观了大屠杀纪念馆，沉重的历史让人深思，勿忘国耻。",2023-12-13 14:55:22,建邺区,文化遗产,中性,4,4
"城墙根下的咖啡馆真有味道，古今交融的感觉很特别。",2023-04-17 16:45:38,玄武区,社会动态,正面,2,2
"长江大桥的车流量真大，希望能多开辟几条过江通道。",2023-11-14 17:50:15,鼓楼区,城市交通,中性,1,1
"听说紫金山天文台开放参观了，改天一定要去看看。",2023-06-17 20:40:11,玄武区,社会动态,中性,11,11
"共享单车堆积如山,影响市容。",2023-06-08 16:55:52,鼓楼区,城市交通,负面,8,8
"城墙公园的春花开得正艳,很适合踏青。",2023-04-05 15:40:36,玄武区,自然环境,正面,15,15
"公交车专用道被占用严重，公交出行效率低。",2023-10-03 17:20:41,鼓楼区,城市交通,负面,2,2
"新建的垃圾分类亭很实用，方便了居民分类。",2023-07-16 09:35:26,栖霞区,建成环境,正面,2,2
"长江大桥的定期维护很及时，保障了通行安全。",2023-05-14 16:10:53,鼓楼区,建成环境,正面,18,8
"今天去了科技馆，里面的互动展览太有意思了，孩子们都玩疯了！",2023-08-22 11:30:52,建邺区,社会动态,正面,30,8
"城市街心公园改造后很漂亮，居民们都喜欢来这里休闲。",2023-05-25 15:30:27,雨花台区,建成环境,正面,7,7
"小区的路灯坏了好几个,晚上有点暗。",2023-04-19 19:30:33,鼓楼区,建成环境,负面,52,47
"小区的健身器材又坏了,也没人修。这种公共设施要加强管理啊。",2023-11-26 09:45:13,秦淮区,社会动态,负面,4,3
"公司团建活动还挺有意思的。",2023-11-12 19:15:24,秦淮区,社会动态,正面,7,5
"长江大桥的日落真美，站在桥上看江景，感觉整个人都放松了。",2023-09-25 18:20:46,鼓楼区,自然环境,正面,1,1
"新开的小店东西还不错。",2023-05-03 15:50:24,鼓楼区,经济因素,正面,9,6
"新开的步行街很有特色，逛街购物的好去处。",2023-05-16 17:20:36,秦淮区,经济因素,正面,3,3
"看到有人闯红灯,这也太危险了吧。",2023-05-17 18:10:53,鼓楼区,城市交通,负面,8,8
"地铁换乘的步行距离太长了,很不方便。",2023-07-21 08:15:36,鼓楼区,城市交通,负面,4,4
"参加了古城墙上的音乐会,别有一番风味。",2023-10-03 19:40:51,玄武区,文化遗产,正面,4,2
"小区里新开了家便利店,买东西方便多了。",2023-04-20 21:10:52,雨花台区,经济因素,正面,11,8
"路边的停车位总是不够用。",2023-09-24 18:15:36,江宁区,城市交通,负面,3,3
"公交专用道被占用严重,公交车总是不准时。",2023-04-19 07:55:39,鼓楼区,城市交通,负面,8,3
"音乐会很精彩,感觉不错。",2023-06-11 21:40:52,建邺区,文化遗产,正面,9,2
